281009689,1,"Is this morally acceptable to bathe with your little sister after being reincarnated in isekai ?",202507290453
281014779,1,"TOTAL GOYRP VICTORY",202507291014
281015044,1,"Something happened",202507291020
280974321,1,"It's Quincy girl summer!",202507271948
280621905,1,"Bocchi is my friend!",202507160735
280824306,1,"You will never be abused by a noodly girl",202507221757
281014369,1,"Chapter 191",202507291002
716752324,2,">beautiful >strong >charming Why haven't you converted to the Gentildonna camp?",202507291120
716755895,2,"NINTENDO SHUT IT DOWN https://www.youtube.com/watch?v=P8WqSn4JUIQ",202507291206
716753928,2,"Isn’t the id verification push supposed to be for porn? Why are the big game companies doing it?",202507291141
716741094,2,"You know it to be cannon. The era of NTR claims another “victim”.",202507290822
716748208,2,"What is your favorite Paradox Grand Strategy games?",202507291021
716756927,2,"dall-e 3 in case people can't find the thread via filter",202507291220
716755694,2,"New Everdark Sovereign dropping in 2 days. Duos dropping in 1 day. My pants dropping in 30 seconds.",202507291203
16655184,3,"How do anti-determinists justify something coming from nothing which is essentially what they believe when they support quantum uncertainty",202505060923
16734928,3,"S38 going to Masseys - edition previous >>16732229",202507270633
16712226,3,"[math]/\mathfrak{mg}/[/math] Joy of analysis edition Previously >>16683009",202507010501
16653554,3,">can you prove it? >No? Then get the fuck off my board",202505041024
16684599,3,"If someone denies the existence of IQ is that a red flag that they’re retarded? >Gee who would have thought that biological variance would stop once it reaches the brain!",202506021229
16705163,3,"How scientific is tabula rasa as an ideological cornerstone in sociology? https://www.youtube.com/watch?v=O06u2Ct3XcI",202506221504
16727724,3,"why is so hard for scientists acknowledge their mistakes?",202507181047
16719467,3,"Is there some scientifically accurate way of experiencing as a man what female orgasms feel like? Can we transfer sensations using electrodes or something?",202507080739
16732104,3,"As per usual >Do NOT give advice >Do NOT feed the nursoids >Do NOT engage with premeds And most importantly >Do NOT respond to psych patients",202507231318
16724854,3,"please explain.",202507150149
106057953,4,"The internet is over. Is it time for us to invent a new realm of communication?",202507280804
106054728,4,">You need a degree to get a tech jo-",202507272332
106036119,4,">You finally got a girlfriend and she's coming to your home Can you delete all degen porn you hoarded under 30 mins? What about browser history etc?",202507261232
106052632,4,"The most pajeet language ever conceived.",202507271905
106057695,4,"trvthnvke",202507280733
106051708,4,"Chat control: as of next year EU is officially scanning all messages mails cloud storage of its citizens. Official reason: to protect the children. Hehe. No hard feelings boyos",202507271726
106054921,4,"What makes Arch Linux so special? Why do so many people love it? I thought it was because it was the most lightweight distro with the least amount of bloat but wouldn't that title go to something like tiny core? Explain.",202507280004
106065404,4,"AI engineer at Google dies from a falling branch.",202507282214
106051377,4,"When will this cuck release his fucking compiler?! Niggers and sodomite streamers have had it forever but _the people_ have been left to out to dry. We demand justice!",202507271655
213174501,5,"Her comes the 2 billion dollars! And tapped boobies!",202507281444
213195286,5,"The post that defined a generation's idea of horror",202507290800
213193428,5,"https://www.youtube.com/watch?v=gxaICzDFu2M&ab_channel=WarnerBros.Entertainment",202507290610
213171669,5,"Wild Billy Gettin' Silly Edition QOTD: Why is Billy Wilder the greatest American director of all time? What are your favorite Wilderian jointographs? Previous>>213142598",202507281250
213179687,5,">goes from least liked to best guest with one review perhaps Mike was holding them back all along",202507281758
213182131,5,">movie completely aimed at women >70% of audience is older men >loses to Jewperjeet >no legs will end up flopping Literally what are you shills defending? The audience is non existent",202507281934
213186114,5,"Murderman could never.",202507282232
213186039,5,"I Live.... AGAIN edition Previous >>213152823",202507282228
213190961,5,"Are you seeing the new wachowski flick?",202507290316
213197617,5,"Superman has "difficult" path to profitability",202507291003
213189322,5,"Court Martial Edition Previously on /trek/: >>213179106",202507290127
213196753,5,"Yep that was kino",202507290920
21490806,6,"Eliminate 3 drinks",202507250332
21492940,6,"What discontinued food item do you miss the most?",202507260502
21481541,6,"at its finest!",202507202322
21477046,6,"kidney bean and barley chili with red onion kale garlic and steel cut oats cooked in a broth of tomato juice apple cider vinegar lawrys and olive oil God bless",202507181828
21485797,6,"Who has the best hotdog?",202507222326
21496014,6,"post webms (and mp4s) previous: >>21477709",202507271534
2921039,7,"who was in the wrong here?",202505311149
2907779,7,"Do you have a doomsday stockpile? What's in it and what do you recommend?",202503271523
2924407,7,"Reminder that you're not a man if you keep the guard on the grinder.",202506160004
